financial_year,state_code,states,requirement_urea,availability_urea,sales_urea,requirement_dap,availability_dap,sales_dap,requirement_mop,availability_mop,sales_mop,requirement_npks,availability_npks,sales_npks
2016-17,27.0,Pondicherry,0.18,0.1,0.11,0.02,0.02,0.02,0.04,0.02,0.02,0.08,0.05,0.06
2016-17,28.0,Punjab,24.5,27.11,26.1,8.52,7.45,7.35,1.05,0.75,0.75,0.7,0.45,0.39
2016-17,29.0,Rajasthan,17.9,20.58,19.95,4.8,6.73,6.45,0.23,0.17,0.17,0.82,0.66,0.59
2016-17,30.0,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,31.0,Tamil Nadu,8.68,8.07,7.94,3.7,2.59,2.53,4.22,2.65,2.63,6.01,5.67,5.3
2016-17,32.0,Telangana,13.9,16.73,15.49,2.9,2.56,2.43,1.7,1.81,1.74,9.4,9.9,9.64
2016-17,33.0,Tripura,0.26,0.31,0.29,0.08,0.02,0.02,0.17,0.09,0.09,0.0,0.01,0.01
2016-17,34.0,Uttar Pradesh,58.5,58.01,54.96,20.0,21.38,20.08,2.5,2.78,2.75,9.0,5.51,5.09
2016-17,35.0,Uttarakhand,2.35,3.58,3.54,0.35,0.34,0.35,0.05,0.04,0.05,0.39,0.34,0.32
2016-17,36.0,West Bengal,12.15,13.04,12.73,3.95,3.05,2.89,2.75,2.64,2.59,10.1,9.95,9.42
2016-17,37.0,All India,289.09,309.08,296.07,100.57,93.79,88.23,33.36,28.91,28.21,102.58,92.49,86.58
2017-18,1.0,Andaman & Nicobar,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0
2017-18,2.0,Andhra Pradesh,15.5,14.92,14.09,3.75,3.38,3.26,2.41,2.97,2.89,11.5,11.88,10.62
2017-18,3.0,Arunachal Pradesh,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2017-18,4.0,Assam,2.95,3.72,3.71,0.55,0.57,0.57,0.65,0.82,0.81,0.05,0.13,0.13
2017-18,5.0,Bihar,21.0,20.58,20.39,5.75,6.98,6.82,1.9,2.54,2.45,3.0,2.97,2.82
