Episode,Total_Reward
553,128.0
554,115.7
555,92.29999999999997
556,117.8
557,132.3
558,160.0
559,94.0
560,147.2
561,82.9
562,110.5
563,143.8
564,117.4
565,114.0
566,150.6
567,127.4
568,117.56
569,129.8
570,156.8
571,110.5
572,117.0
573,149.6
574,106.1
575,156.8
576,113.4
577,140.0
578,150.2
579,150.4
580,57.5
581,55.19999999999998
582,160.0
583,105.4
584,160.0
585,118.1
586,122.5
587,127.4
588,104.0
589,129.8
590,137.9
591,156.8
592,133.0
593,159.6
594,120.5
595,120.5
596,148.5
597,101.6
598,72.89999999999999
599,117.3
600,110.19999999999999
601,134.5
602,144.2
603,109.1
604,160.0
605,127.4
606,115.0
607,86.79999999999998
608,108.3
609,115.0
610,141.7
611,114.5
612,156.8
613,116.4
614,130.0
615,160.0
616,141.6
617,140.20000000000002
618,140.8
619,143.2
620,123.5
621,157.0
622,109.79999999999998
623,80.3
624,111.2
625,156.8
626,106.8
627,146.1
628,106.19999999999999
629,95.0
630,136.0
631,127.39999999999999
632,152.6
633,160.0
634,144.0
635,119.8
636,114.6
637,144.0
638,113.7
639,137.0
640,76.96000000000001
641,132.0
642,152.6
643,111.39999999999999
644,146.20000000000002
645,160.0
646,160.0
647,159.0
648,156.8
649,106.69999999999999
650,128.9
651,84.99999999999999
652,153.6
653,159.0
654,126.4
655,127.30000000000001
656,136.6
657,156.8
658,129.0
659,112.6
660,140.5
661,132.0
662,132.0
663,117.8
664,129.5
665,160.0
666,123.3
667,139.0
668,82.8
669,82.9
670,139.6
671,128.9
672,95.09999999999998
673,127.99999999999997
674,137.5
675,119.6
676,76.0
677,134.3
678,153.6
679,132.2
680,160.0
681,126.2
682,115.0
683,147.2
684,122.6
685,135.8
686,132.8
687,129.39999999999998
688,128.8
689,160.0
690,157.0
691,116.19999999999999
692,135.5
693,160.0
694,110.3
695,84.5
696,83.36
697,152.8
698,160.0
699,107.0
700,107.7
701,105.5
702,159.0
703,157.2
704,118.5
705,138.20000000000002
706,147.0
707,160.0
708,157.0
709,119.9
710,150.4
711,132.3
712,81.4
713,105.6
714,160.0
715,133.8
716,137.5
717,151.2
718,74.5
719,86.1
720,160.0
721,110.69999999999999
722,149.2
723,123.0
724,87.1
725,159.0
726,133.4
727,149.0
728,95.29999999999998
729,145.0
730,116.8
731,156.0
732,137.0
733,137.0
734,160.0
735,96.0
736,121.3
737,150.3
738,134.5
739,148.5
740,99.0
741,154.0
742,155.7
743,83.69999999999999
744,141.0
745,153.6
746,150.4
747,113.39999999999999
748,109.3
749,141.39999999999998
750,159.0
751,121.3
752,114.6
753,120.6
754,106.5
755,79.9
756,155.6
757,159.0
758,140.5
759,137.0
760,137.0
761,98.19999999999999
762,111.6
763,106.7
764,157.2
765,153.6
766,125.6
767,157.6
768,146.96
769,160.0
770,85.0
771,124.5
772,122.96000000000001
773,157.0
774,156.8
775,128.5
776,122.69999999999999
777,96.5
778,111.1
779,148.4
780,160.0
781,129.2
782,96.4
783,94.6
784,147.2
785,137.0
786,121.1
